,Main Source of Income,Number of Airconditioner,Electricity,House Age,Number of bedrooms,Number of Personal Computer,Total Income from Entrepreneurial Acitivites,Total Household Income,Number of Component/Stereo set,Type of Roof,Number of Washing Machine,Number of Motorized Banca,Number of Cellular phone,Number of Television,Imputed House Rental Value,Toilet Facilities,Type of Walls,House Floor Area,Agricultural Household indicator,Type of Building/House,Number of Stove with Oven/Gas Range,Number of Refrigerator/Freezer,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Motorcycle/Tricycle,Region,Crop Farming and Gardening expenses,Main Source of Water Supply,Tenure Status,Number of CD/VCD/DVD
88,Wage/Salaries,0,1,40,3,2,0,372972,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,4,1,21000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,70,0,Single house,0,1,0,0,1,CAR,0,Tubed/piped shallow well,Own or owner-like possession of house and lot,1
89,Other sources of Income,0,1,50,1,0,0,300324,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,0,1,6000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,40,0,Single house,0,0,0,0,0,CAR,0,"Own use, tubed/piped deep well",Own or owner-like possession of house and lot,0
90,Other sources of Income,0,1,4,2,0,67200,168498,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,2,1,7800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,45,0,Single house,0,0,0,0,1,CAR,34250,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,1
91,Other sources of Income,0,1,8,1,0,23275,68425,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,4800,"Water-sealed, sewer septic tank, shared with other household",Light,35,1,Single house,0,0,0,0,0,CAR,23275,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
92,Other sources of Income,0,1,21,3,0,44900,151545,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,1,12000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,45,0,Single house,0,1,0,0,0,CAR,0,Tubed/piped shallow well,Own or owner-like possession of house and lot,1
93,Other sources of Income,0,1,2,1,0,26600,138688,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,0,1,7800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,20,0,Single house,0,0,0,0,0,CAR,0,Tubed/piped shallow well,Own or owner-like possession of house and lot,0
94,Enterpreneurial Activities,0,1,2,1,0,38675,96695,0,"Light material (cogon,nipa,anahaw)",0,0,1,1,4800,"Water-sealed, sewer septic tank, used exclusively by household",Strong,25,1,Single house,0,0,0,0,0,CAR,38675,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
95,Wage/Salaries,0,1,13,2,0,9615,379622,1,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,18000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,60,0,Single house,0,0,0,0,1,CAR,9615,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
96,Other sources of Income,0,1,4,2,0,36815,147342,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,3,1,9000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,30,1,Single house,0,0,0,0,0,CAR,36815,Dug well,Own or owner-like possession of house and lot,0
97,Wage/Salaries,0,1,70,0,0,27450,174440,0,"Light material (cogon,nipa,anahaw)",0,0,5,0,2400,"Water-sealed, sewer septic tank, used exclusively by household",Light,60,0,Duplex,0,0,0,0,0,CAR,27450,Dug well,Own or owner-like possession of house and lot,0
98,Other sources of Income,0,1,39,2,0,0,223295,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,1,1,12000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,60,0,Single house,0,1,0,0,0,CAR,0,Dug well,Own or owner-like possession of house and lot,1
99,Enterpreneurial Activities,0,1,1,2,1,60530,106805,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",1,0,1,1,6000,"Water-sealed, sewer septic tank, used exclusively by household",Strong,40,1,Single house,0,1,0,0,0,CAR,47630,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,1
100,Enterpreneurial Activities,0,0,4,0,0,43105,101045,0,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",0,0,0,0,2400,Closed pit,Strong,30,1,Single house,0,0,0,0,0,CAR,43105,"Shared, tubed/piped deep well",Own or owner-like possession of house and lot,0
